Year,GMSL
1997.821918,2.319642
1997.841096,2.255388
1997.860274,2.188773
1997.879452,2.114382
1997.89863,2.019593
1997.917808,1.91807
1997.936986,1.804339
1997.956164,1.706114
1997.975343,1.644691
1997.994521,1.600591
1998.013699,1.570699
1998.032877,1.549402
1998.052055,1.511094
1998.071233,1.475243
1998.090411,1.42525
1998.109589,1.382418
1998.128767,1.349512
1998.147945,1.304978
1998.167123,1.243452
1998.186301,1.193326
1998.20548,1.153212
1998.224658,1.131952
1998.243836,1.107431
1998.263014,1.085675
1998.282192,1.037756
1998.30137,0.960006
1998.320548,0.885588
1998.339726,0.836685
1998.358904,0.795302
1998.378082,0.758938
1998.39726,0.736496
1998.416438,0.729909
1998.435616,0.73698
1998.454795,0.755966
1998.473973,0.78505
1998.493151,0.817188
1998.512329,0.866397
1998.531507,0.924071
1998.550685,0.981776
1998.569863,1.034426
1998.589041,1.103851
1998.608219,1.176562
1998.627397,1.258003
1998.646575,1.344717
1998.665753,1.429476
1998.684932,1.507636
1998.70411,1.572732
1998.723288,1.636997
1998.742466,1.710147
1998.761644,1.747709
1998.780822,1.751761
1998.8,1.737572
1998.819178,1.715042
1998.838356,1.707535
1998.857534,1.705006
1998.876712,1.701038
1998.89589,1.67998
1998.915069,1.627293
1998.934247,1.570165
1998.953425,1.527774
1998.972603,1.484593
1998.991781,1.427663
1999.010959,1.367521
1999.030137,1.318484
1999.049315,1.31598
1999.068493,1.300511
1999.087671,1.26351
1999.106849,1.21775
1999.126027,1.17085
1999.145206,1.158969
1999.164384,1.182055
1999.183562,1.204424
1999.20274,1.192412
1999.221918,1.119271
1999.241096,1.068249
1999.260274,1.039845
1999.279452,1.023763
1999.29863,1.003174
1999.317808,0.96194
1999.336986,0.923258
1999.356164,0.890652
1999.375343,0.856873
1999.394521,0.849254
1999.413699,0.83827
1999.432877,0.836803
1999.452055,0.851428
1999.471233,0.886225
1999.490411,0.938866
1999.509589,0.99734
1999.528767,1.064228
1999.547945,1.155412
1999.567123,1.251298
1999.586301,1.367659
1999.60548,1.463617
1999.624658,1.564569
1999.643836,1.682041
1999.663014,1.822251
1999.682192,1.969244
1999.70137,2.119206
1999.720548,2.248269
1999.739726,2.359236
1999.758904,2.423259
1999.778082,2.489844
